Step,HeadX,HeadY,Hunger,Tension,V,DetK
    0,      0.0000000000,      0.0000000000,      0.0005389222,      0.0004670659,      0.0000000000,      1.0000000000
    1,     -0.0000000000,     -0.0000000000,      0.0011619318,      0.0004670752,      0.0881635571,      1.0000000000
    2,     -0.0000000000,     -0.0000000001,      0.0017849529,      0.0004670845,      0.0881651787,      1.0000000000
    3,      0.0000000002,     -0.0000000001,      0.0024079848,      0.0004670937,      0.0881667122,      1.0000000000
    4,      0.0000000006,     -0.0000000002,      0.0030310270,      0.0004671030,      0.0881681579,      1.0000000000
    5,      0.0000000016,     -0.0000000003,      0.0036540788,      0.0004671122,      0.0881695160,      1.0000000000
    6,      0.0000001145,      0.0000002228,      0.0042771395,      0.0004671214,      0.0881707852,      1.0000000000
    7,      0.0000003545,      0.0000006652,      0.0049002085,      0.0004671306,      0.0881719678,      1.0000000000
    8,      0.0000011098,      0.0000020315,      0.0055232853,      0.0004671397,      0.0881730605,      1.0000000000
    9,      0.0000036527,      0.0000066126,      0.0061463692,      0.0004671489,      0.0881740576,      1.0000000000
   10,      0.0000128417,      0.0000231591,      0.0067694591,      0.0004671580,      0.0881749437,      1.0000000000
   11,      0.0000483992,      0.0000872123,      0.0073925557,      0.0004671671,      0.0881765092,      1.0000000000
   12,      0.0001951718,      0.0003517634,      0.0080156429,      0.0004671761,      0.0881913022,      1.0000000000
   13,      0.0010783998,      0.0019444428,      0.0086381617,      0.0004671852,      0.0885910903,      1.0000000000
   14,      0.0063685064,      0.0114882407,      0.0092690628,      0.0004671941,      0.0971831831,      1.0000000000
   15,     -0.0100519991,     -0.0181001247,      0.0102753367,      0.0004672059,      0.2464819976,      1.0000000000
   16,      1.1056830734,      1.9908927456,      0.0111662421,      0.0004672931,      0.4974336324,      1.0000000000
   17,      1.1011172222,      1.9936221895,      0.0118761175,      0.0004673717,      0.1573230751,      1.0000000000
   18,      1.9473881472,      1.4877081182,      0.0126518336,      0.0004674553,      0.2681234247,      1.0000000000
   19,      1.9444069454,      1.4919110446,      0.0132936443,      0.0004675403,      0.1002158513,      1.0000000000
   20,      1.9414123961,      1.4961109119,      0.0139483971,      0.0004676283,      0.1114540381,      1.0000000000
   21,      1.9384087133,      1.5003021443,      0.0147531427,      0.0004677591,      0.4168935896,      1.0000000000
   22,      1.9355207759,      1.5043233028,      0.0153640200,      0.0004679080,      0.0930416874,      1.0000000000
   23,      2.6661093662,      0.4870325844,      0.0161283496,      0.0004680503,      0.3083272910,      1.0000000000
   24,      2.6659336705,      0.4889680440,      0.0167390936,      0.0004681924,      0.0926634940,      1.0000000000
   25,      2.6657556592,      0.4909044604,      0.0173497501,      0.0004683347,      0.0926804293,      1.0000000000
   26,      2.6655753237,      0.4928418667,      0.0179603372,      0.0004684770,      0.0926904208,      1.0000000000
   27,      2.6653926547,      0.4947802978,      0.0185708576,      0.0004686195,      0.0927018279,      1.0000000000
   28,      2.7275743112,     -0.1650973920,      0.0193437602,      0.0004687479,      0.2196050771,      1.0000000000
   29,      2.7278594572,     -0.1624296441,      0.0199543683,      0.0004688763,      0.0927650086,      1.0000000000
   30,      2.7281402948,     -0.1597449482,      0.0205649514,      0.0004690049,      0.0927657363,      1.0000000000
   31,      2.7284167570,     -0.1570428943,      0.0211755332,      0.0004691336,      0.0927574733,      1.0000000000
   32,      2.7286887740,     -0.1543230577,      0.0217861151,      0.0004692624,      0.0927499146,      1.0000000000
   33,      2.6147235120,     -1.2937725000,      0.0225058293,      0.0004693617,      0.2866972269,      1.0000000000
   34,      2.6154920472,     -1.2928158088,      0.0231161372,      0.0004694609,      0.0926088482,      1.0000000000
   35,      2.6162591542,     -1.2918588989,      0.0237264853,      0.0004695603,      0.0925829649,      1.0000000000
   36,      2.6170248465,     -1.2909017448,      0.0243368954,      0.0004696597,      0.0925487838,      1.0000000000
   37,      2.6177891376,     -1.2899443211,      0.0249473722,      0.0004697592,      0.0925132580,      1.0000000000
   38,      2.2526174603,     -1.7473910318,      0.0258181765,      0.0004698394,      0.2340321217,      1.0000000000
   39,      2.2555515103,     -1.7445202459,      0.0264284724,      0.0004699195,      0.0928273410,      1.0000000000
   40,      2.2585183721,     -1.7416005431,      0.0270388702,      0.0004699998,      0.0927855800,      1.0000000000
   41,      2.2615195474,     -1.7386298100,      0.0276493898,      0.0004700802,      0.0927364929,      1.0000000000
   42,      2.2645566407,     -1.7356057893,      0.0282600340,      0.0004702103,      0.0926869724,      1.0000000000
   43,      0.4801576423,     -3.5123058974,      0.0293995237,      0.0004703723,      0.5590201607,      1.0000000000
   44,      0.4820179920,     -3.5121628426,      0.0300111473,      0.0004705336,      0.0920862991,      1.0000000000
   45,      0.4838769834,     -3.5120197422,      0.0306229394,      0.0004706950,      0.0920119708,      1.0000000000
   46,      0.4857346387,     -3.5118765938,      0.0312349126,      0.0004708565,      0.0919328765,      1.0000000000
   47,      0.4875909793,     -3.5117333947,      0.0318470701,      0.0004710179,      0.0918526707,      1.0000000000
   48,     -1.1236307064,     -3.6360237007,      0.0325881733,      0.0004711444,      0.3637920388,      1.0000000000
   49,     -1.1213979080,     -3.6359346362,      0.0332018121,      0.0004712708,      0.0918002963,      1.0000000000
   50,     -1.1191630016,     -3.6358452367,      0.0338156523,      0.0004713971,      0.0917140556,      1.0000000000
   51,     -1.1169259617,     -3.6357555086,      0.0344297008,      0.0004715235,      0.0916252067,      1.0000000000
   52,     -1.1146867636,     -3.6356654579,      0.0350439569,      0.0004716500,      0.0915368473,      1.0000000000
   53,     -3.1959566372,     -3.7193647038,      0.0347671776,      0.0004717294,      0.5867242690,      1.0000000000
   54,     -3.1954783044,     -3.7192381417,      0.0353822579,      0.0004718090,      0.0913515677,      1.0000000000
   55,     -3.1949991211,     -3.7191111190,      0.0359975504,      0.0004718886,      0.0912631069,      1.0000000000
   56,     -3.1945190674,     -3.7189836501,      0.0366130566,      0.0004719681,      0.0911742816,      1.0000000000
   57,     -3.1940381244,     -3.7188557490,      0.0372287730,      0.0004720477,      0.0910869759,      1.0000000000
   58,     -3.4286313403,     -3.7812428596,      0.0371947525,      0.0004721231,      0.3531280405,      1.0000000000
   59,     -3.4188464881,     -3.7784822578,      0.0379007716,      0.0004721987,      0.1268461325,      1.0000000000
   60,     -3.4043800110,     -3.7744976358,      0.0386188679,      0.0004722745,      0.1315480473,      1.0000000000
   61,     -3.3821643676,     -3.7684890525,      0.0393587479,      0.0004723506,      0.1401688791,      1.0000000000
   62,     -3.3436695212,     -3.7582252816,      0.0401453961,      0.0004724274,      0.1588893200,      1.0000000000
   63,     -5.5247183302,     -4.3400204743,      0.0466973380,      0.0004724668,      3.1244029992,      1.0000000000
   64,     -5.5010042851,     -4.3398676474,      0.0473222987,      0.0004725003,      0.0954860883,      1.0000000000
   65,     -5.4772406887,     -4.3397220329,      0.0479473999,      0.0004725344,      0.0954071811,      1.0000000000
   66,     -5.4534283534,     -4.3395839471,      0.0485726369,      0.0004725689,      0.0953299030,      1.0000000000
   67,     -5.4295681287,     -4.3394537241,      0.0491980031,      0.0004726040,      0.0952549800,      1.0000000000
   68,     24.8494398090,     -4.1742071534,      0.0612331510,      0.0004733126,      6.8717472641,      1.0000000000
   69,     24.9713633395,     -4.1756130216,      0.0618082772,      0.0004740163,      0.1158230364,      1.0000000000
   70,     25.0927856310,     -4.1770288114,      0.0623834148,      0.0004747227,      0.1157301283,      1.0000000000
   71,     25.2137057262,     -4.1784544804,      0.0629585598,      0.0004754318,      0.1156393366,      1.0000000000
   72,     25.3341226992,     -4.1798899867,      0.0635337085,      0.0004761436,      0.1155506354,      1.0000000000
   73,     28.2275040814,     -4.2143981656,      0.0631491706,      0.0004769211,      0.7139821047,      1.0000000000
   74,     28.3354376403,     -4.2160375916,      0.0637215122,      0.0004777011,      0.1147221111,      1.0000000000
   75,     28.4428330123,     -4.2176861268,      0.0642938959,      0.0004784835,      0.1146294391,      1.0000000000
   76,     28.5496928199,     -4.2193437520,      0.0648663171,      0.0004792682,      0.1145392983,      1.0000000000
   77,     28.6560192717,     -4.2210104444,      0.0654387715,      0.0004800553,      0.1144515309,      1.0000000000
   78,     32.4290745068,     -4.2801713566,      0.0644601660,      0.0004809287,      0.9824907547,      1.0000000000
   79,     32.5166171129,     -4.2821023589,      0.0650306564,      0.0004818041,      0.1129468812,      1.0000000000
   80,     32.6036509327,     -4.2840416525,      0.0656012290,      0.0004826814,      0.1128580787,      1.0000000000
   81,     32.6901774613,     -4.2859891941,      0.0661718804,      0.0004835607,      0.1127710694,      1.0000000000
   82,     32.7761981551,     -4.2879449405,      0.0667426075,      0.0004844418,      0.1126857662,      1.0000000000
   83,     38.6315811318,     -4.4210911907,      0.0641496269,      0.0004854578,      1.6982897672,      1.0000000000
   84,     38.6850883214,     -4.4234533980,      0.0647226855,      0.0004864752,      0.1089826415,      1.0000000000
   85,     38.7382068483,     -4.4258221227,      0.0652959016,      0.0004874938,      0.1088915211,      1.0000000000
   86,     38.7909386473,     -4.4281973116,      0.0658692721,      0.0004885135,      0.1088018819,      1.0000000000
   87,     38.8432856546,     -4.4305789122,      0.0664427939,      0.0004895343,      0.1087136526,      1.0000000000
   88,     52.8845159912,     -5.0694281949,      0.0556992909,      0.0004908766,      5.4174749299,      1.0000000000
   89,     52.8842589928,     -5.0724667195,      0.0563155966,      0.0004922186,      0.0895807879,      1.0000000000
   90,     52.8840012164,     -5.0755082172,      0.0569319723,      0.0004935606,      0.0895526139,      1.0000000000
