Step,HeadX,HeadY,Hunger,Tension,V,DetK
    0,      0.0000000000,      0.0000000000,      0.0005389222,      0.0004670659,      0.0000000000,      1.0000000000
    1,     -0.0000000000,     -0.0000000000,      0.0011619318,      0.0004670752,      0.0881635571,      1.0000000000
    2,     -0.0000000000,     -0.0000000001,      0.0017849529,      0.0004670845,      0.0881651787,      1.0000000000
    3,      0.0000000002,     -0.0000000001,      0.0024079848,      0.0004670937,      0.0881667122,      1.0000000000
    4,      0.0000000006,     -0.0000000002,      0.0030310270,      0.0004671030,      0.0881681579,      1.0000000000
    5,      0.0000000016,     -0.0000000003,      0.0036540788,      0.0004671122,      0.0881695160,      1.0000000000
    6,      0.0000001145,      0.0000002228,      0.0042771395,      0.0004671214,      0.0881707852,      1.0000000000
    7,      0.0000003545,      0.0000006652,      0.0049002085,      0.0004671306,      0.0881719678,      1.0000000000
    8,      0.0000011098,      0.0000020315,      0.0055232853,      0.0004671397,      0.0881730605,      1.0000000000
    9,      0.0000036527,      0.0000066126,      0.0061463692,      0.0004671489,      0.0881740576,      1.0000000000
   10,      0.0000128417,      0.0000231591,      0.0067694591,      0.0004671580,      0.0881749437,      1.0000000000
   11,      0.0000483992,      0.0000872123,      0.0073925557,      0.0004671671,      0.0881765092,      1.0000000000
   12,      0.0001951718,      0.0003517634,      0.0080156429,      0.0004671761,      0.0881913022,      1.0000000000
   13,      0.0010783998,      0.0019444428,      0.0086381617,      0.0004671852,      0.0885910903,      1.0000000000
   14,      0.0063685064,      0.0114882407,      0.0092690628,      0.0004671941,      0.0971831827,      1.0000000000
   15,     -0.0100519969,     -0.0181001208,      0.0102753367,      0.0004672059,      0.2464819917,      1.0000000000
   16,      1.1056830747,      1.9908927468,      0.0111662421,      0.0004672931,      0.4974336418,      1.0000000000
   17,      1.1011172202,      1.9936221920,      0.0118761176,      0.0004673717,      0.1573231372,      1.0000000000
   18,      1.9473913680,      1.4877063294,      0.0126518334,      0.0004674553,      0.2681239430,      1.0000000000
   19,      1.9444101798,      1.4919092479,      0.0132936440,      0.0004675403,      0.1002157972,      1.0000000000
   20,      1.9414156442,      1.4961091074,      0.0139483966,      0.0004676283,      0.1114537981,      1.0000000000
   21,      1.9384119752,      1.5003003320,      0.0147531349,      0.0004677591,      0.4168697972,      1.0000000000
   22,      1.9355240419,      1.5043214949,      0.0153640213,      0.0004679081,      0.0930383488,      1.0000000000
   23,      2.6661131152,      0.4870275358,      0.0161283601,      0.0004680503,      0.3083241109,      1.0000000000
   24,      2.6659374204,      0.4889630051,      0.0167391144,      0.0004681925,      0.0926596741,      1.0000000000
   25,      2.6657594101,      0.4908994313,      0.0173497817,      0.0004683347,      0.0926763639,      1.0000000000
   26,      2.6655790755,      0.4928368479,      0.0179603803,      0.0004684771,      0.0926861103,      1.0000000000
   27,      2.6653964073,      0.4947752895,      0.0185709127,      0.0004686196,      0.0926972729,      1.0000000000
   28,      2.7275778489,     -0.1651066781,      0.0193438273,      0.0004687480,      0.2196007529,      1.0000000000
   29,      2.7278630015,     -0.1624389453,      0.0199544486,      0.0004688764,      0.0927599773,      1.0000000000
   30,      2.7281438460,     -0.1597542648,      0.0205650454,      0.0004690050,      0.0927604740,      1.0000000000
   31,      2.7284203151,     -0.1570522265,      0.0211756416,      0.0004691337,      0.0927519874,      1.0000000000
   32,      2.7286923391,     -0.1543324057,      0.0217862383,      0.0004692625,      0.0927442134,      1.0000000000
   33,      2.6147240960,     -1.2937755313,      0.0225059676,      0.0004693618,      0.2866903367,      1.0000000000
   34,      2.6154926410,     -1.2928188148,      0.0231162912,      0.0004694611,      0.0926027665,      1.0000000000
   35,      2.6162597578,     -1.2918618792,      0.0237266556,      0.0004695604,      0.0925767106,      1.0000000000
   36,      2.6170254600,     -1.2909046991,      0.0243370823,      0.0004696598,      0.0925423733,      1.0000000000
   37,      2.6177897612,     -1.2899472491,      0.0249475760,      0.0004697593,      0.0925067089,      1.0000000000
   38,      2.2526133152,     -1.7474064700,      0.0258183949,      0.0004698395,      0.2340261027,      1.0000000000
   39,      2.2555472346,     -1.7445358137,      0.0264287083,      0.0004699196,      0.0928205442,      1.0000000000
   40,      2.2585139607,     -1.7416162465,      0.0270391239,      0.0004699999,      0.0927787073,      1.0000000000
   41,      2.2615149950,     -1.7386456555,      0.0276496614,      0.0004700804,      0.0927295669,      1.0000000000
   42,      2.2645519417,     -1.7356217840,      0.0282603235,      0.0004702102,      0.0926800157,      1.0000000000
   43,      0.4802364938,     -3.5122368789,      0.0293997912,      0.0004703722,      0.5589884589,      1.0000000000
   44,      0.4820968049,     -3.5120938068,      0.0300114326,      0.0004705336,      0.0920794321,      1.0000000000
   45,      0.4839557579,     -3.5119506891,      0.0306232423,      0.0004706949,      0.0920051562,      1.0000000000
   46,      0.4858133749,     -3.5118075234,      0.0312352329,      0.0004708564,      0.0919261366,      1.0000000000
   47,      0.4876696772,     -3.5116643069,      0.0318474076,      0.0004710178,      0.0918460266,      1.0000000000
   48,     -1.1234811467,     -3.6359667858,      0.0325885537,      0.0004711443,      0.3637761347,      1.0000000000
   49,     -1.1212483091,     -3.6358777241,      0.0332022091,      0.0004712706,      0.0917938895,      1.0000000000
   50,     -1.1190133636,     -3.6357883274,      0.0338160653,      0.0004713970,      0.0917077993,      1.0000000000
   51,     -1.1167762846,     -3.6356986021,      0.0344301295,      0.0004715234,      0.0916191156,      1.0000000000
   52,     -1.1145370474,     -3.6356085542,      0.0350444009,      0.0004716498,      0.0915309339,      1.0000000000
   53,     -3.1958260172,     -3.7193045541,      0.0347677289,      0.0004717292,      0.5866941727,      1.0000000000
   54,     -3.1953475485,     -3.7191780281,      0.0353828236,      0.0004718088,      0.0913460697,      1.0000000000
   55,     -3.1948682291,     -3.7190510413,      0.0359981301,      0.0004718883,      0.0912578128,      1.0000000000
   56,     -3.1943880392,     -3.7189236084,      0.0366136496,      0.0004719678,      0.0911691963,      1.0000000000
   57,     -3.1939069598,     -3.7187957432,      0.0372293789,      0.0004720473,      0.0910821027,      1.0000000000
   58,     -3.4285860719,     -3.7811704794,      0.0371952944,      0.0004721227,      0.3531555015,      1.0000000000
   59,     -3.4188102280,     -3.7784137965,      0.0379012285,      0.0004721983,      0.1268029395,      1.0000000000
   60,     -3.4043629858,     -3.7744364723,      0.0386192101,      0.0004722741,      0.1314933844,      1.0000000000
   61,     -3.3821890903,     -3.7684422366,      0.0393589062,      0.0004723502,      0.1400866794,      1.0000000000
   62,     -3.3438065737,     -3.7582137309,      0.0401451596,      0.0004724269,      0.1587224388,      1.0000000000
   63,     -5.5330933587,     -4.3419008584,      0.0467344260,      0.0004724661,      3.1387297257,      1.0000000000
   64,     -5.5091267662,     -4.3417466632,      0.0473594366,      0.0004724995,      0.0955251893,      1.0000000000
   65,     -5.4851100345,     -4.3415997037,      0.0479845868,      0.0004725334,      0.0954464606,      1.0000000000
   66,     -5.4610439848,     -4.3414602980,      0.0486098719,      0.0004725677,      0.0953693546,      1.0000000000
   67,     -5.4369294759,     -4.3413287826,      0.0492352851,      0.0004726026,      0.0952945949,      1.0000000000
   68,     24.8301611097,     -4.1762670973,      0.0611975045,      0.0004733108,      6.8506685403,      1.0000000000
   69,     24.9517575503,     -4.1776735043,      0.0617726420,      0.0004740142,      0.1157769895,      1.0000000000
   70,     25.0728531235,     -4.1790898247,      0.0623477912,      0.0004747203,      0.1156842751,      1.0000000000
   71,     25.1934468800,     -4.1805160157,      0.0629229479,      0.0004754290,      0.1155936694,      1.0000000000
   72,     25.3135379018,     -4.1819520356,      0.0634981083,      0.0004761404,      0.1155051469,      1.0000000000
   73,     28.2253706642,     -4.2167868510,      0.0631046046,      0.0004769180,      0.7186258388,      1.0000000000
   74,     28.3328759260,     -4.2184282302,      0.0636769483,      0.0004776981,      0.1146704276,      1.0000000000
   75,     28.4398440987,     -4.2200787106,      0.0642493345,      0.0004784806,      0.1145779740,      1.0000000000
   76,     28.5462777210,     -4.2217382720,      0.0648217586,      0.0004792654,      0.1144880243,      1.0000000000
   77,     28.6521789369,     -4.2234068909,      0.0653942164,      0.0004800525,      0.1144004250,      1.0000000000
   78,     32.4595765513,     -4.2834150518,      0.0643945989,      0.0004809267,      0.9924762379,      1.0000000000
   79,     32.5464854951,     -4.2853506406,      0.0649651088,      0.0004818030,      0.1128757263,      1.0000000000
   80,     32.6328873432,     -4.2872944983,      0.0655357023,      0.0004826811,      0.1127869423,      1.0000000000
   81,     32.7187835815,     -4.2892465812,      0.0661063759,      0.0004835612,      0.1126999401,      1.0000000000
   82,     32.8041756604,     -4.2912068456,      0.0666771264,      0.0004844432,      0.1126146339,      1.0000000000
   83,     38.7498407999,     -4.4277154853,      0.0640121012,      0.0004854621,      1.7303074580,      1.0000000000
   84,     38.8021783725,     -4.4300885119,      0.0645854070,      0.0004864823,      0.1088067228,      1.0000000000
   85,     38.8541330788,     -4.4324679926,      0.0651588726,      0.0004875038,      0.1087154916,      1.0000000000
   86,     38.9057068588,     -4.4348538739,      0.0657324949,      0.0004885263,      0.1086257435,      1.0000000000
   87,     38.9569016540,     -4.4372461033,      0.0663062707,      0.0004895500,      0.1085374073,      1.0000000000
   88,     53.4594607726,     -5.1149453028,      0.0564372787,      0.0004909052,      5.6669695328,      1.0000000000
   89,     53.4595562295,     -5.1179861119,      0.0570503368,      0.0004922600,      0.0907410927,      1.0000000000
   90,     53.4596478010,     -5.1210299313,      0.0576634791,      0.0004936149,      0.0907068562,      1.0000000000
